JASPAR_2022_nematodes_CORE	MA0545_1	"#743190"	6
JASPAR_2022_nematodes_CORE	MA1449_1	"#743190"	6
JASPAR_2022_nematodes_CORE	MA1438_1	"#C97182"	2
JASPAR_2022_nematodes_CORE	MA1444_1	"#C97182"	2
JASPAR_2022_nematodes_CORE	MA0922_1	"#C97182"	2
JASPAR_2022_nematodes_CORE	MA1448_1	"#C97182"	2
JASPAR_2022_nematodes_CORE	MA0547_1	"#C97182"	2
JASPAR_2022_nematodes_CORE	MA1704_1	"#C97182"	2
JASPAR_2022_nematodes_CORE	MA0537_1	"#DAB877"	3
JASPAR_2022_nematodes_CORE	MA0260_1	"#DAB877"	3
JASPAR_2022_nematodes_CORE	MA0543_1	"#DAB877"	3
JASPAR_2022_nematodes_CORE	MA0923_1	"#DAB877"	3
JASPAR_2022_nematodes_CORE	MA1703_1	"#DAB877"	3
JASPAR_2022_nematodes_CORE	MA1450_1	"#907499"	7
JASPAR_2022_nematodes_CORE	MA0262_1	"#6CA47C"	8
JASPAR_2022_nematodes_CORE	MA1446_1	"#5C9046"	4
JASPAR_2022_nematodes_CORE	MA0541_1	"#5C9046"	4
JASPAR_2022_nematodes_CORE	MA0920_1	"#5C9046"	4
JASPAR_2022_nematodes_CORE	MA1440_1	"#5C9046"	4
JASPAR_2022_nematodes_CORE	MA0546_1	"#5C9046"	4
JASPAR_2022_nematodes_CORE	MA0263_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA0264_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA1445_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA1699_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA0921_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA0919_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA1441_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA1442_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA0924_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA1443_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA0918_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA0926_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA0927_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA0928_1	"#87CCED"	1
JASPAR_2022_nematodes_CORE	MA1451_1	"#98833D"	9
JASPAR_2022_nematodes_CORE	MA0538_1	"#3D4768"	5
JASPAR_2022_nematodes_CORE	MA1701_1	"#3D4768"	5
JASPAR_2022_nematodes_CORE	MA0542_1	"#3D4768"	5
JASPAR_2022_nematodes_CORE	MA1439_1	"#3D4768"	5
JASPAR_2022_nematodes_CORE	MA0925_1	"#85204C"	10
JASPAR_2022_nematodes_CORE	MA0544_1	"#661100"	11
JASPAR_2022_nematodes_CORE	MA0540_1	"#888888"	12
JASPAR_2022_nematodes_CORE	MA0261_1	"#888888"	12
